TIMESTAMP_UTC,HOST_CPU_COUNT,BASE_SEED,START_SEED,NUM_SIMS,SORT_COLOR,WORKERS_USED,BRANCH_INDEX,RANK,SETTLEMENT,ROAD,SETTLEMENT2,ROAD2,WOOD_PIPS,BRICK_PIPS,SHEEP_PIPS,WHEAT_PIPS,ORE_PIPS,WOOD_PIPS2,BRICK_PIPS2,SHEEP_PIPS2,WHEAT_PIPS2,ORE_PIPS2,AVG_TURNS,WALL_TIME_SEC,CPU_TIME_SEC,WINNER,WIN_RED,WIN_BLUE,WIN_ORANGE,WIN_WHITE,AVG_VP_RED,AVG_VP_BLUE,AVG_VP_ORANGE,AVG_VP_WHITE
unix:1772423819,16,99,1000,200,RED,16,209,1,39,17-39,5,0-5,0,5,0,3,0,0,2,0,5,0,112.19,0.1451,0.1451,RED,79.5,8.5,11.5,0.5,9.42,6.11,6.36,4.17
unix:1772423819,16,99,1000,200,RED,16,192,2,5,0-5,17,15-17,0,2,0,5,0,0,5,0,5,0,115.50,0.1443,0.1443,RED,73.5,13.5,13.0,0.0,9.28,6.27,6.39,4.71
unix:1772423819,16,99,1000,200,RED,16,157,3,17,17-39,4,4-5,0,5,0,5,0,0,2,5,2,0,101.95,0.1307,0.1307,RED,64.0,11.0,24.5,0.5,8.82,5.95,7.26,4.76
unix:1772423819,16,99,1000,200,RED,16,174,4,4,3-4,39,38-39,0,2,5,2,0,0,5,0,3,0,107.23,0.1519,0.1519,RED,62.0,14.0,23.0,1.0,8.69,6.13,7.16,4.79
unix:1772423819,16,99,1000,200,RED,16,122,5,3,2-3,18,17-18,0,6,5,0,0,0,5,0,2,0,102.52,0.1382,0.1382,RED,59.0,20.0,21.0,0.0,8.44,7.09,7.18,3.72
unix:1772423819,16,99,1000,200,RED,16,149,6,3,2-3,51,51-52,0,6,5,0,0,0,0,0,0,5,102.38,0.1250,0.1250,RED,58.0,27.5,14.5,0.0,8.49,7.52,6.82,4.45
unix:1772423819,16,99,1000,200,RED,16,409,7,17,17-18,53,52-53,0,5,0,5,0,2,0,0,0,0,105.62,0.1309,0.1309,RED,57.5,19.0,20.0,3.5,8.52,7.30,7.07,4.73
unix:1772423819,16,99,1000,200,RED,16,749,7,39,39-41,53,52-53,0,5,0,3,0,2,0,0,0,0,107.68,0.1376,0.1376,RED,57.5,15.5,24.5,2.5,8.57,7.13,7.31,4.77
unix:1772423819,16,99,1000,200,RED,16,322,8,12,3-12,17,17-39,0,4,6,0,0,0,5,0,5,0,101.01,0.1299,0.1299,RED,56.5,20.5,23.0,0.0,8.51,7.28,7.26,4.61
unix:1772423819,16,99,1000,200,RED,16,251,9,6,6-23,47,45-47,6,0,3,0,0,0,0,0,0,4,98.07,0.1100,0.1100,RED,56.0,27.5,15.5,1.0,8.57,7.46,7.18,4.74
