TIMESTAMP_UTC,HOST_CPU_COUNT,BASE_SEED,START_SEED,NUM_SIMS,SORT_COLOR,WORKERS_USED,BRANCH_INDEX,RANK,SETTLEMENT,ROAD,SETTLEMENT2,ROAD2,WOOD_PIPS,BRICK_PIPS,SHEEP_PIPS,WHEAT_PIPS,ORE_PIPS,WOOD_PIPS2,BRICK_PIPS2,SHEEP_PIPS2,WHEAT_PIPS2,ORE_PIPS2,AVG_TURNS,WALL_TIME_SEC,CPU_TIME_SEC,WINNER,WIN_RED,WIN_BLUE,WIN_ORANGE,WIN_WHITE,AVG_VP_RED,AVG_VP_BLUE,AVG_VP_ORANGE,AVG_VP_WHITE
unix:1772557926,16,99,1000,200,RED,16,296,1,15,14-15,27,8-27,0,2,0,5,3,0,5,0,3,0,117.41,1.5375,1.5375,RED,50.0,22.0,15.5,12.5,8.49,7.62,6.68,6.55
unix:1772557926,16,99,1000,200,RED,16,301,2,33,32-33,15,4-15,0,0,0,1,0,0,2,0,5,3,109.77,1.2524,1.2524,RED,45.5,30.5,22.5,1.5,8.12,7.81,7.53,5.23
unix:1772557926,16,99,1000,200,RED,16,313,3,15,14-15,46,45-46,0,2,0,5,3,0,0,0,0,5,109.45,1.4425,1.4425,RED,43.5,29.0,22.5,5.0,8.05,7.33,7.65,6.36
unix:1772557926,16,99,1000,200,RED,16,318,3,15,4-15,51,51-52,0,2,0,5,3,5,0,0,0,0,110.59,1.8500,1.8500,RED,43.5,29.0,16.5,11.0,8.20,7.57,7.36,6.20
unix:1772557926,16,99,1000,200,RED,16,320,4,15,4-15,53,24-53,0,2,0,5,3,0,0,2,0,0,108.37,1.2127,1.2127,RED,42.0,24.0,24.5,9.5,7.93,7.51,7.59,6.12
unix:1772557926,16,99,1000,200,RED,16,380,5,21,19-21,22,20-22,7,0,0,0,4,5,0,0,0,1,112.86,1.6079,1.6079,ORANGE,41.0,13.5,42.5,3.0,8.16,7.26,8.37,3.70
unix:1772557926,16,99,1000,200,RED,16,299,6,15,4-15,31,30-31,0,2,0,5,3,0,0,4,0,0,110.95,1.3001,1.3001,RED,40.5,40.0,14.0,5.5,7.95,7.88,7.21,5.41
unix:1772557926,16,99,1000,200,RED,16,314,6,15,15-17,47,43-47,0,2,0,5,3,0,0,0,0,4,110.68,1.5721,1.5721,RED,40.5,28.0,22.0,9.5,8.05,7.42,7.65,6.98
unix:1772557926,16,99,1000,200,RED,16,392,6,35,35-36,21,16-21,0,2,0,0,0,7,0,0,0,4,107.51,1.5248,1.5248,RED,40.5,21.0,37.0,1.5,8.07,7.57,8.14,3.80
unix:1772557926,16,99,1000,200,RED,16,312,7,45,45-47,15,4-15,0,0,0,0,4,0,2,0,5,3,114.84,1.7557,1.7557,RED,40.0,28.5,23.0,8.5,7.96,7.32,7.71,7.05
unix:1772557926,16,99,1000,200,RED,16,297,8,28,27-28,15,4-15,0,0,0,3,0,0,2,0,5,3,107.62,1.2829,1.2829,BLUE,39.5,43.0,17.0,0.5,7.96,7.98,7.37,4.82
unix:1772557926,16,99,1000,200,RED,16,317,8,15,14-15,50,50-51,0,2,0,5,3,5,0,0,0,0,111.89,2.2793,2.2793,RED,39.5,27.5,17.0,16.0,8.06,7.62,7.49,6.59
unix:1772557926,16,99,1000,200,RED,16,315,9,15,4-15,48,48-49,0,2,0,5,3,0,0,0,0,1,110.94,2.2093,2.2093,RED,39.0,32.5,21.5,7.0,8.02,7.63,7.40,6.20
unix:1772557926,16,99,1000,200,RED,16,345,9,49,48-49,19,19-21,5,0,0,0,1,4,0,0,0,5,111.49,1.6058,1.6058,RED,39.0,18.5,38.0,4.5,7.98,7.36,8.36,4.57
unix:1772557926,16,99,1000,200,RED,16,7,10,19,19-21,0,0-5,4,0,0,0,5,4,0,2,0,0,111.60,2.3833,2.3833,ORANGE,38.5,15.5,45.5,0.5,7.95,7.32,8.24,4.33
unix:1772557926,16,99,1000,200,RED,16,383,10,21,21-43,25,25-26,7,0,0,0,4,0,5,0,0,0,113.60,1.6636,1.6636,ORANGE,38.5,16.5,40.5,4.5,7.94,7.73,8.45,4.47
unix:1772557926,16,99,1000,200,RED,16,406,10,51,51-52,21,19-21,5,0,0,0,0,7,0,0,0,4,105.83,1.3718,1.3718,ORANGE,38.5,14.5,46.0,1.0,7.80,7.19,8.62,3.44
unix:1772557926,16,99,1000,200,RED,16,120,11,15,4-15,6,1-6,0,2,0,5,3,0,0,2,3,0,108.56,1.2511,1.2511,RED,38.0,21.0,22.5,18.5,8.06,7.21,7.43,6.49
unix:1772557926,16,99,1000,200,RED,16,295,11,26,25-26,15,4-15,0,5,0,0,0,0,2,0,5,3,106.79,1.5610,1.5610,RED,38.0,34.0,22.5,5.5,8.06,7.77,7.23,5.87
unix:1772557926,16,99,1000,200,RED,16,344,11,19,19-21,48,46-48,4,0,0,0,5,0,0,0,0,1,105.82,1.3546,1.3546,ORANGE,38.0,12.0,50.0,0.0,7.79,7.04,8.64,3.36
unix:1772557926,16,99,1000,200,RED,16,384,11,21,21-43,26,26-27,7,0,0,0,4,0,5,0,0,0,111.58,1.8002,1.8002,ORANGE,38.0,16.0,43.0,3.0,7.93,7.45,8.47,4.72
