TIMESTAMP_UTC,HOST_CPU_COUNT,BASE_SEED,START_SEED,NUM_SIMS,SORT_COLOR,WORKERS_USED,BRANCH_INDEX,RANK,SETTLEMENT,ROAD,SETTLEMENT2,ROAD2,WOOD_PIPS,BRICK_PIPS,SHEEP_PIPS,WHEAT_PIPS,ORE_PIPS,WOOD_PIPS2,BRICK_PIPS2,SHEEP_PIPS2,WHEAT_PIPS2,ORE_PIPS2,AVG_TURNS,WALL_TIME_SEC,CPU_TIME_SEC,WINNER,WIN_RED,WIN_BLUE,WIN_ORANGE,WIN_WHITE,AVG_VP_RED,AVG_VP_BLUE,AVG_VP_ORANGE,AVG_VP_WHITE
unix:1771785451,16,99,1000,200,RED,16,198,1,6,1-6,20,0-20,0,0,9,0,0,4,0,4,0,0,106.96,2.2627,2.2627,RED,73.0,14.5,11.0,1.5,9.40,6.26,5.80,5.29
unix:1771785451,16,99,1000,200,RED,16,393,2,24,7-24,20,20-22,5,0,2,0,0,4,0,4,0,0,100.56,0.4029,0.4029,RED,68.0,22.0,10.0,0.0,9.03,7.53,5.76,6.20
unix:1771785451,16,99,1000,200,RED,16,12,3,0,0-1,24,24-53,4,0,3,2,0,5,0,2,0,0,110.30,2.5985,2.5985,RED,67.0,7.0,25.5,0.5,9.23,6.78,7.06,4.04
unix:1771785451,16,99,1000,200,RED,16,775,4,38,37-38,52,51-52,0,0,0,0,3,0,5,2,0,0,104.00,2.3542,2.3542,RED,65.5,1.0,33.5,0.0,8.89,6.45,7.91,3.75
unix:1771785451,16,99,1000,200,RED,16,300,5,22,22-23,14,13-14,0,5,4,0,0,0,0,0,2,3,105.79,2.1552,2.1552,RED,65.0,2.5,31.5,1.0,8.89,5.96,7.85,5.54
unix:1771785451,16,99,1000,200,RED,16,329,6,19,19-46,15,15-17,8,0,1,0,0,0,2,0,0,3,98.97,2.4242,2.4242,RED,64.0,4.0,30.5,1.5,8.91,6.18,7.69,4.29
unix:1771785451,16,99,1000,200,RED,16,333,6,23,23-52,15,4-15,0,5,5,0,0,0,2,0,0,3,100.09,1.9158,1.9158,RED,64.0,4.5,30.0,1.5,8.79,5.97,7.70,4.32
unix:1771785451,16,99,1000,200,RED,16,332,7,22,22-23,15,14-15,0,5,4,0,0,0,2,0,0,3,103.82,2.0028,2.0028,RED,63.5,4.0,31.5,1.0,8.86,6.24,7.77,4.39
unix:1771785451,16,99,1000,200,RED,16,455,7,29,29-30,22,22-23,0,0,0,0,7,0,5,4,0,0,108.80,2.5330,2.5330,RED,63.5,15.0,20.0,1.5,9.13,7.38,7.19,5.62
unix:1771785451,16,99,1000,200,RED,16,297,8,14,14-37,19,19-21,0,0,0,2,3,8,0,1,0,0,98.94,2.1686,2.1686,RED,63.0,14.0,23.0,0.0,8.73,6.83,7.46,4.30
unix:1771785451,16,99,1000,200,RED,16,3,9,6,6-23,0,0-1,0,0,9,0,0,4,0,3,2,0,112.24,2.8700,2.8700,RED,62.5,4.0,32.5,1.0,9.10,6.55,7.16,4.95
