TIMESTAMP_UTC,HOST_CPU_COUNT,BASE_SEED,START_SEED,NUM_SIMS,SORT_COLOR,WORKERS_USED,BRANCH_INDEX,RANK,SETTLEMENT,ROAD,SETTLEMENT2,ROAD2,WOOD_PIPS,BRICK_PIPS,SHEEP_PIPS,WHEAT_PIPS,ORE_PIPS,WOOD_PIPS2,BRICK_PIPS2,SHEEP_PIPS2,WHEAT_PIPS2,ORE_PIPS2,AVG_TURNS,WALL_TIME_SEC,CPU_TIME_SEC,WINNER,WIN_RED,WIN_BLUE,WIN_ORANGE,WIN_WHITE,AVG_VP_RED,AVG_VP_BLUE,AVG_VP_ORANGE,AVG_VP_WHITE
unix:1772559754,16,99,1000,200,RED,16,323,1,14,14-37,20,20-22,2,0,0,5,0,1,3,0,4,0,105.46,1.5555,1.5555,RED,80.0,13.5,5.0,1.5,9.46,7.14,5.90,4.57
unix:1772559754,16,99,1000,200,RED,16,352,2,15,14-15,20,20-22,2,0,0,5,2,1,3,0,4,0,99.55,1.2948,1.2948,RED,73.5,15.0,3.0,8.5,9.38,7.34,5.95,5.78
unix:1772559754,16,99,1000,200,RED,16,381,2,20,20-22,17,15-17,1,3,0,4,0,2,0,3,0,2,110.15,1.5771,1.5771,RED,73.5,16.0,5.5,5.0,9.34,7.47,6.24,6.43
unix:1772559754,16,99,1000,200,RED,16,66,3,39,39-41,1,1-2,2,0,3,0,0,3,0,0,4,2,100.38,1.2412,1.2412,RED,73.0,6.5,18.0,2.5,9.23,7.09,6.89,4.52
unix:1772559754,16,99,1000,200,RED,16,359,3,15,14-15,30,29-30,2,0,0,5,2,0,0,0,4,0,99.32,1.2546,1.2546,RED,73.0,6.5,20.5,0.0,9.24,7.04,7.32,3.94
unix:1772559754,16,99,1000,200,RED,16,403,4,47,45-47,17,15-17,0,0,0,4,0,2,0,3,0,2,112.10,1.6024,1.6024,RED,72.0,14.5,11.0,2.5,9.18,7.68,6.92,5.36
unix:1772559754,16,99,1000,200,RED,16,402,5,46,46-48,17,17-39,1,0,0,4,0,2,0,3,0,2,111.53,1.5085,1.5085,RED,71.0,13.5,13.0,2.5,9.27,7.41,7.10,5.21
unix:1772559754,16,99,1000,200,RED,16,76,6,1,1-2,50,50-51,3,0,0,4,2,0,0,5,0,0,102.07,1.2421,1.2421,RED,70.0,10.0,19.0,1.0,9.13,7.19,6.99,4.39
unix:1772559754,16,99,1000,200,RED,16,331,6,31,30-31,14,14-15,0,0,0,4,0,2,0,0,5,0,100.23,1.3040,1.3040,RED,70.0,9.5,20.5,0.0,9.20,6.69,7.18,2.56
unix:1772559754,16,99,1000,200,RED,16,360,7,31,30-31,15,15-17,0,0,0,4,0,2,0,0,5,2,95.94,1.1723,1.1723,RED,69.5,11.5,18.5,0.5,9.15,7.14,6.94,4.08
unix:1772559754,16,99,1000,200,RED,16,347,8,14,13-14,49,48-49,2,0,0,5,0,1,0,5,0,0,101.68,1.4388,1.4388,RED,69.0,12.5,18.5,0.0,9.03,7.21,7.18,3.52
unix:1772559754,16,99,1000,200,RED,16,370,8,41,41-42,15,15-17,0,0,3,0,0,2,0,0,5,2,99.91,1.2317,1.2317,RED,69.0,11.0,20.0,0.0,9.05,7.13,7.29,4.56
unix:1772559754,16,99,1000,200,RED,16,376,8,48,48-49,15,4-15,1,0,0,0,0,2,0,0,5,2,98.89,1.2480,1.2480,RED,69.0,11.0,20.0,0.0,9.13,7.19,7.22,3.93
unix:1772559754,16,99,1000,200,RED,16,407,8,17,17-18,51,50-51,2,0,3,0,2,0,0,5,0,0,112.96,0.1318,0.1318,RED,69.0,20.0,11.0,0.0,9.15,7.80,6.69,4.28
